title,address,totalScore,categories,location,Jarak_KampusC,Jarak_KampusB,Jarak_KampusA
Bakso Rama,"Gg. II A No.9, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.9,Restoran Bakso,"{'lat': -7.3062359, 'lng': 112.7979785}",4.314813312271104,5.0446280535008965,5.121148008413688
Bakso Pak LaLa,"PRF3+W6G, Kejawaan Putih Tamba, Kec. Mulyorejo, Surabaya, Jawa Timur 60112, Indonesia",4.8,Restoran Bakso,"{'lat': -7.2751842, 'lng': 112.8030762}",2.106093158494069,3.8052678336054986,4.376419886629478
Bakso Mercon Xing Eco,"Jl. Raya Manyar No.36, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60284, Indonesia",4.3,Restoran Bakso Warung Makanan Kecil,"{'lat': -7.2911975, 'lng': 112.7624207}",3.4361482633836617,2.321694380688909,1.7488236812978641
Bakso Solo Samrat Manyar Kertoarjo,"Jl. Manyar Kertoarjo V No.33, RT.007/RW.11, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",3.8,Restoran Bakso,"{'lat': -7.2781302, 'lng': 112.7659303}",2.2826858112790416,0.822804255862236,0.4042618293776981
Bakso Bratang,"No 92, Jl. Barata Jaya XIX, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60119, Indonesia",4.4,Restoran Bakso,"{'lat': -7.2993486, 'lng': 112.7614064}",4.186463706019343,3.223718192619314,2.660947788204723
Bakso Mas Roy,"Jl. Dr. Ir. H. Soekarno, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",3.6,Restoran Bakso Restoran Indonesia,"{'lat': -7.2922527, 'lng': 112.781058}",2.5414873987924023,2.693722896503098,2.6950664105234536
Bakso Omen Again,"Jl. Dharmahusada Indah Timur No.44, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.3,Restoran Bakso Restoran Mie,"{'lat': -7.2748266, 'lng': 112.7813876}",0.6831027440179068,1.4427325814204712,1.9854429037134964
"Bakso Tombo Luwe, Mie Ayam dan Es Campur semolowaru","Jl. Semolowaru No.159, RT.003/RW.02, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.4,Pujasera Restoran Bakso,"{'lat': -7.3006103, 'lng': 112.7784425}",3.5078735173534987,3.4283015090870097,3.2478910763797604
Bakso Royal,"Jl. Arief Rahman Hakim No.57, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.3,Restoran Bakso Rumah Makan,"{'lat': -7.2902396, 'lng': 112.7996256}",2.808956291572684,3.9994146552692564,4.3186960259779
Bakso Bandung Mamang,"PQ8J+WPF, Jl. Manyar Kerta Adi IV, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60116, Indonesia",4.9,Restoran Bakso,"{'lat': -7.2826818, 'lng': 112.7817959}",1.4810541278504792,1.912196559406084,2.1805429451224905
"Bakso Pak Min, Merr","Jl. Raya Semampir Gg. Kelurahan No.73, RT.005/RW.01, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.8,Restoran Bakso,"{'lat': -7.3055012, 'lng': 112.7812386}",4.0002503921446975,4.042901944864649,3.8729794126235655
