title,address,totalScore,categories,location
Bakso Mercon Xing Eco,"Jl. Raya Manyar No.36, Menur Pumpungan, Kec. Sukolilo, Surabaya, Jawa Timur 60284, Indonesia",4.3,"['Restoran Bakso', 'Warung Makanan Kecil']","{'lat': -7.2911975, 'lng': 112.7624207}"
Bakso Solo Samrat Manyar Kertoarjo,"Jl. Manyar Kertoarjo V No.33, RT.007/RW.11, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",3.8,['Restoran Bakso'],"{'lat': -7.2781302, 'lng': 112.7659303}"
Bakso Bratang,"No 92, Jl. Barata Jaya XIX, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60119, Indonesia",4.4,['Restoran Bakso'],"{'lat': -7.2993486, 'lng': 112.7614064}"
Bakso Mas Roy,"Jl. Dr. Ir. H. Soekarno, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117, Indonesia",3.6,"['Restoran Bakso', 'Restoran Indonesia']","{'lat': -7.2922527, 'lng': 112.781058}"
Bakso Omen Again,"Jl. Dharmahusada Indah Timur No.44, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115, Indonesia",4.3,"['Restoran Bakso', 'Restoran Mie']","{'lat': -7.2748266, 'lng': 112.7813876}"
"Bakso Tombo Luwe, Mie Ayam dan Es Campur semolowaru","Jl. Semolowaru No.159, RT.003/RW.02, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.4,"['Pujasera', 'Restoran Bakso']","{'lat': -7.3006103, 'lng': 112.7784425}"
Bakso Royal,"Jl. Arief Rahman Hakim No.57, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.3,"['Restoran Bakso', 'Rumah Makan']","{'lat': -7.2902396, 'lng': 112.7996256}"
Bakso Bandung Mamang,"PQ8J+WPF, Jl. Manyar Kerta Adi IV, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60116, Indonesia",4.9,['Restoran Bakso'],"{'lat': -7.2826818, 'lng': 112.7817959}"
"Bakso Pak Min, Merr","Jl. Raya Semampir Gg. Kelurahan No.73, RT.005/RW.01, Medokan Semampir, Kec. Sukolilo, Surabaya, Jawa Timur 60119, Indonesia",4.8,['Restoran Bakso'],"{'lat': -7.3055012, 'lng': 112.7812386}"
BAKSO CAKSUM KHAS DJAKARTA,"PQM9+935, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",5.0,['Restoran Bakso'],"{'lat': -7.2666242, 'lng': 112.7677403}"
"Bakso Manyar Tirtoyoso ""Pink""","Jl. Manyar Tirtoyoso No.19-33, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60116, Indonesia",4.8,"['Restoran Bakso', 'Restoran Cepat Saji']","{'lat': -7.2840184, 'lng': 112.7718544}"
"Governor ""Kedai Bakso""","Blok J Baru No.21, Jl. T. Arsitektur, Keputih, Kec. Sukolilo, Surabaya, Jawa Timur 60111, Indonesia",4.4,['Restoran Bakso'],"{'lat': -7.2866651, 'lng': 112.795173}"
Bakso dan Mie Ayam Langgeng Jaya,"Jl. Raya Mulyosari No.149, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60113, Indonesia",4.0,['Restoran Bakso'],"{'lat': -7.2682443, 'lng': 112.7964988}"
BAKSO BALUNGAN / SOTO AYAM,"Jl. Raya Kedung Baruk No.8, Kedung Baruk, Kec. Rungkut, Surabaya, Jawa Timur 60298, Indonesia",4.6,"['Restoran Bakso', 'Restoran Soto Ayam']","{'lat': -7.3106801, 'lng': 112.775768}"
PENYETAN OM ANDRE,"Jl. Wonorejo Timur No.104-100, Wonorejo, Kec. Rungkut, Surabaya, Jawa Timur 60296, Indonesia",4.9,['Restoran'],"{'lat': -7.3083536, 'lng': 112.7980974}"
